"","level","Overall"
"n","","67"
"1a (%)","0","35 (52.2)"
"","1","32 (47.8)"
"3 (%)","0","1 (1.5)"
"","1","66 (98.5)"
"4 (%)","0","2 (3.0)"
"","1","65 (97.0)"
"9 (%)","0","28 (41.8)"
"","1","39 (58.2)"
"12a (%)","0","8 (11.9)"
"","1","59 (88.1)"
"12c (%)","0","47 (70.1)"
"","1","20 (29.9)"
"12e (%)","0","16 (34.8)"
"","1","30 (65.2)"
"13a (%)","0","24 (35.8)"
"","1","43 (64.2)"
"13b (%)","0","16 (23.9)"
"","1","51 (76.1)"
"13c (%)","0","53 (79.1)"
"","1","14 (20.9)"
"14b (%)","0","44 (83.0)"
"","1","9 (17.0)"
"14c_coh (%)","0","3 (10.0)"
"","1","27 (90.0)"
"16b (%)","0","21 (40.4)"
"","1","31 (59.6)"
"16c (%)","0","48 (96.0)"
"","1","2 (4.0)"
"18 (%)","1","67 (100.0)"
"20 (%)","0","15 (22.4)"
"","1","52 (77.6)"
"21 (%)","0","20 (29.9)"
"","1","47 (70.1)"
